code;name;measure;stock;min
2680000504;ABANICO PLASTICO CON CABO;UNIDAD;0.00;5
2830000530;"ABRAZADERA HANGER DE 2""";UNIDAD;30.00;5
2970000538;ACCESORIO DE ENTRADA DE CALAVERA 1 1/4 PLG;UNIDAD;1.00;5
2610000001;ACIDO MURIATICO;GALON;2.00;20
2680000005;ADAPTADOR HEMBRA PVC 1/2 PLG;UNIDAD;501.00;5
2680000006;ADAPTADOR HEMBRA PVC 3/4 PLG;UNIDAD;8.00;5
2680000007;ADAPTADOR MACHO PVC 1 1/2 PLG;UNIDAD;44.00;5
2680000009;ADAPTADOR MACHO PVC 1 PLG;UNIDAD;40.00;5
2680000010;ADAPTADOR MACHO PVC 1/2 PLG;UNIDAD;486.00;5
2680000011;ADAPTADOR MACHO PVC 2 PLG;UNIDAD;15.00;5
2680000013;ADAPTADOR MACHO PVC 3/4 PLG;UNIDAD;0.00;5
2690000113;ADHESIVO PSP COLOR GRIS SACO DE 10 KGS;UNIDAD;0.00;5
;ADOQ.AMARILLO CLARO/0.20X0.20X0.08 210KG/CM;UNIDAD;150.00;5
;ADOQ.AMARILLO -GRIS CLARO/0.20X0.20X0.08 210KG/CM;UNIDAD;150.00;5
;ADOQ.COLOR ROJO /0.20X0.20X0.08 210KG/CM;UNIDAD;0.00;5
;ADOQ.GRIS CLARO 0.12X0.24X0.08 210KG/CM;UNIDAD;350.00;5
2750000186;ADOQUIN 20X20X0,8;UNIDAD;4792.00;5
2750000151;ADOQUIN TRAFICO PEATONAL DE 5 X 10 X 20;METRO CUADRADO;111.00;10
2830000730;AGARRADOR METALICO;UNIDAD;4.00;5
2810000318;ALAMBRE DE AMARRE;LIBRA;696.00;10
2820000312;ALAMBRE GALVANIZADO;LIBRA;401.00;10
2860000232;ALMADANA 10 LBS;UNIDAD;0.00;5
2860000001;ALMADANA 12 LBS;UNIDAD;2.00;5
2860000757;ALMADANA 7 LBS;LIBRA;3.00;10
2810000202;"ANGULAR 1"" X 1/8 X 20 PIES";UNIDAD;0.00;5
2810000199;"ANGULAR 2"" X 1/4 X 20 PIES";UNIDAD;12.00;5
2810000201;"ANGULAR 2"" X 1/8 X 20 PIES";UNIDAD;16.00;5
2810000147;ANGULAR 3/4 X 1/8 X 20 PIES;UNIDAD;0.00;5
2970000011;APAGADOR SENCILLO;UNIDAD;2.00;5
2860000004;ARCO PARA SIERRA;UNIDAD;4.00;5
2230000002;ARENA BLANCA;METRO CéBICO;27.00;10
2230000004;ARENA DE RIO;METRO CéBICO;300.45;10
2970000017;ARMADURA POLARIZADA DADO;UNIDAD;0.00;5
;ASFALTO EN FRIO;UNIDAD;440.00;5
2990000614;ASPERSOR TIPO HUNTER 1/2 C HEMBRE ROSCA;UNIDAD;476.00;5
2860000648;ASPESOR DE PISTOLA;UNIDAD;0.00;5
2640000106;ATEMI 10WG;LITRO;0.00;5
2860000724;ATORNILLADOR P/TABLAYESO D/64A,P;UNIDAD;0.00;5
2860000005;AZADON;UNIDAD;5.00;5
;AZADON (PARA BANQUETA);UNIDAD;4.00;5
2110000001;AZUCAR;UNIDAD;0.00;5
2750000158;AZULEJO 0.30 X 0.20;METRO CUADRADO;25.00;10
2750000108;AZULEJO 0.30 X 0.60 CM;METRO CUADRADO;0.00;10
2820000289;BAJADA DE AGUA PARA CANAL DE 2;UNIDAD;2.00;5
2970000277;BALASTRO DE 2X32W;UNIDAD;0.00;5
2750000023;BALDOSA DE 30CMX30CM;UNIDAD;55.00;5
2750000261;BARDA PREFABRICADA;UNIDAD;750.00;5
2830000628;BARRA ROSCADA DE 1 PLG X1 MT DE LARGO;UNIDAD;6.00;5
2860000472;BARRETA DE U¥A DE 3/4X75CMS;UNIDAD;0.00;5
;BARRETA NACIONAL;UNIDAD;5.00;5
;BATERIAS AA;UNIDAD;0.00;5
2640000038;BAYFOLAN FORTE;UNIDAD;7.00;5
2750000004;BLOCK CONCRETO 14*19*39 35KG/CM2;UNIDAD;9374.00;5
2750000102;BLOCK CONCRETO 19*19*39 35KG/CM2;UNIDAD;236.00;5
;BORDILLO;UNIDAD;250.00;5
2740000004;CEMENTO GRIS;SACOS;2159.00;10
2810000019;HIERRO CORRUGADO DE 1/2 PLG. X 20 PIE;UNIDAD;1371.50;5
2810000022;HIERRO CORRUGADO DE 3/8 PLG. X 20 PIE;UNIDAD;1317.00;5
;PIEDRIN BASE DE 1/4 PLG.;METRO CéBICO;48.00;10
2230000005;PIEDRIN DE 1/2 PLG.;METRO CéBICO;178.95;10
2230000006;PIEDRIN DE 1/4 PLG.;METRO CéBICO;11.00;10
;PINTURA ACEITE;GALON;1107.00;20
;PINTURA ACRILICA LATEX;GALON;292.00;20
;PINTURA ANTICORROSIVA;GALON;34.00;20
2230000020;TIERRA NEGRA;METRO CéBICO;13.50;10
